GeneNames	log2FC	qvalue
csde014503.1	-0.613427349	0.999993071
csde011212.1	-0.121557055	0.999993071
csde012830.1	-0.140151686	0.999993071
csde033854.1	0.610976226	0.999993071
csde000883.1	0.232552096	0.999993071
csde008528.1	0.918273105	0.999993071
csde000794.1	0.189811052	0.999993071
csde012372.1	0.149932029	0.999993071
csde016886.1	-0.250492292	0.999993071
csde025629.1	0.358379388	0.999993071
csde007467.1	0.069545336	0.999993071
csde017464.1	0.088296435	0.999993071
csde000307.1	0.519381867	0.999993071
csde010844.1	0.257488327	0.999993071
csde001745.1	0.492130131	0.999993071
csde009841.1	0.250646898	0.999993071
csde028917.1	-0.146263818	0.999993071
csde007361.1	-0.161857264	0.999993071
csde011405.1	-0.293937821	0.999993071
csde023968.1	-0.781754547	0.999993071
csde007124.1	-0.139673732	0.999993071
csde007168.1	-2.418404742	0.999993071
csde027562.1	-0.329990447	0.999993071
csde004006.1	0.665408053	0.999993071
csde006324.1	0.276623373	0.999993071
csde031174.1	-0.723814146	0.999993071
csde026832.1	-0.447887238	0.999993071
csde001480.1	0.541761117	0.999993071
csde016092.1	0.217771302	0.999993071
csde018524.1	-1.304178134	0.999993071
csde032892.1	-0.180639664	0.999993071
csde019236.1	-0.273197753	0.999993071
csde029703.1	0.1252319	0.999993071
csde024918.1	-0.57664827	0.999993071
csde002023.1	-0.390185105	0.999993071
csde032990.1	0.085911135	0.999993071
csde022014.1	1.978520606	0.999993071
csde028117.1	1.430418705	0.999993071
csde021171.1	-0.209650728	0.999993071
csde019978.1	-1.047330376	0.999993071
csde031535.1	0.072495011	0.999993071
csde032029.1	-0.204497078	0.999993071
csde030161.1	-0.156703314	0.999993071
csde031694.1	-0.780602257	0.999993071
csde023864.1	0.232295539	0.999993071
csde010075.1	-0.184239062	0.999993071
csde008215.1	-0.133603154	0.999993071
csde007665.1	0.104572164	0.999993071
csde032844.1	-0.841557417	0.999993071
csde016036.1	0.231091892	0.999993071
csde026028.1	-0.1917976	0.999993071
csde008506.1	-0.289459456	0.999993071
csde033814.1	1.164323824	0.999993071
csde031879.1	0.54794686	0.999993071
csde005723.1	0.184204972	0.999993071
csde013488.1	-0.232541481	0.999993071
csde028875.1	-0.906909167	0.999993071
csde028959.1	0.190231966	0.999993071
csde005058.1	-0.094105865	0.999993071
csde023241.1	-0.718948834	0.999993071
csde033367.1	-0.286802279	0.999993071
csde010696.1	-1.774070311	0.999993071
csde015060.1	-0.505183255	0.999993071
csde003896.1	-0.08715076	0.999993071
csde017467.1	0.104994949	0.999993071
csde028556.1	-0.242698545	0.999993071
csde013582.1	-2.035337297	0.999993071
csde006883.1	-0.139874618	0.999993071
csde019072.1	-0.142052055	0.999993071
csde002607.1	0.185558543	0.999993071
csde012012.1	-0.276758638	0.999993071
csde023235.1	0.068700516	0.999993071
csde011722.1	-0.216059952	0.999993071
csde018665.1	-0.83278411	0.999993071
csde031277.1	-0.200526734	0.999993071
csde031221.1	-0.178257239	0.999993071
csde016905.1	0.23661488	0.999993071
csde027547.1	0.09472713	0.999993071
csde024618.1	-0.088693826	0.999993071
csde027482.1	0.139172425	0.999993071
csde031291.1	-0.282073379	0.999993071
csde017580.1	-0.099441614	0.999993071
csde025802.1	-0.101662927	0.999993071
csde007034.1	-0.288276195	0.999993071
csde013361.1	-0.079809445	0.999993071
csde030560.1	-0.299402593	0.999993071
csde018919.1	0.095760785	0.999993071
csde013832.1	-0.210017919	0.999993071
csde015353.1	-0.190432918	0.999993071
csde008229.1	1.239888256	0.999993071
csde029505.1	-0.23234629	0.999993071
csde030839.1	0.333998013	0.999993071
csde029009.1	0.256868272	0.999993071
csde026250.1	-1.850230305	0.999993071
csde028133.1	0.63842573	0.999993071
csde014706.1	-0.906754699	0.999993071
csde015233.1	-0.06461232	0.999993071
csde027064.1	0.237915335	0.999993071
csde024282.1	-0.734107166	0.999993071
csde020571.1	-0.538283579	0.999993071
csde021625.1	1.843546147	0.999993071
csde019434.1	-0.451854967	0.999993071
csde017848.1	-0.155291342	0.999993071
csde020276.1	0.298878707	0.999993071
csde010015.1	0.157709444	0.999993071
csde030610.1	-0.080373678	0.999993071
csde032223.1	-1.365625984	0.999993071
csde006184.1	0.047430728	0.999993071
csde005858.1	-0.02657493	0.999993071
csde026014.1	0.148448219	0.999993071
csde004808.1	0.106051995	0.999993071
csde023277.1	0.406161646	0.999993071
csde005272.1	1.019622399	0.999993071
csde023295.1	0.079890943	0.999993071
csde012873.1	0.443409798	0.999993071
csde015598.1	-0.148937764	0.999993071
csde020751.1	-0.232486868	0.999993071
csde031176.1	0.574550734	0.999993071
csde022435.1	-1.191659909	0.999993071
csde011353.1	-0.0814663	0.999993071
csde006414.1	-0.132280858	0.999993071
csde006132.1	0.075617045	0.999993071
csde028891.1	-1.651020007	0.999993071
csde012679.1	-0.301734091	0.999993071
csde002195.1	-0.419146413	0.999993071
csde029462.1	0.532779969	0.999993071
csde014384.1	-0.160585056	0.999993071
csde000644.1	1.181481183	0.999993071
csde013371.1	-0.160148832	0.999993071
csde002704.1	0.08781363	0.999993071
csde010797.1	0.713376422	0.999993071
csde017064.1	1.361322902	0.999993071
csde002491.1	-0.18266163	0.999993071
csde005495.1	-0.079676835	0.999993071
csde009161.1	0.073473795	0.999993071
csde002624.1	-0.177807916	0.999993071
csde029062.1	0.082370821	0.999993071
csde006261.1	-0.187790415	0.999993071
csde000226.1	0.326839109	0.999993071
csde004464.1	0.258285854	0.999993071
csde005779.1	-0.060207482	0.999993071
csde022171.1	-0.108492928	0.999993071
csde030281.1	0.044849998	0.999993071
csde009739.1	0.155007	0.999993071
csde021552.1	0.155471321	0.999993071
csde003787.1	1.280951473	0.999993071
csde010108.1	-0.213822047	0.999993071
csde022407.1	0.084707576	0.999993071
csde027280.1	1.418813594	0.999993071
csde008567.1	0.156457199	0.999993071
csde003555.1	-0.489204721	0.999993071
csde019055.1	-0.122231887	0.999993071
csde000932.1	-0.170783703	0.999993071
csde007022.1	-0.062522065	0.999993071
csde029351.1	0.165353612	0.999993071
